CellID,DNA1_cellRingMask,BG1_cellRingMask,BG2_cellRingMask,BG3_cellRingMask,DNA2_cellRingMask,CD25_cellRingMask,CD2_cellRingMask,CD10_cellRingMask,DNA3_cellRingMask,CD163_cellRingMask,CD3D_cellRingMask,CD5_cellRingMask,DNA4_cellRingMask,CD30_cellRingMask,ACTIN_cellRingMask,CD45_cellRingMask,DNA5_cellRingMask,CD206_cellRingMask,CD68_cellRingMask,PD1_cellRingMask,DNA6_cellRingMask,KI67_cellRingMask,CD11C_cellRingMask,CD7_cellRingMask,DNA7_cellRingMask,CD8A_cellRingMask,FOXP3_cellRingMask,CD20_cellRingMask,DNA8_cellRingMask,CD4_cellRingMask,HLADR_cellRingMask,PSTAT3_cellRingMask,DNA9_cellRingMask,PS6_cellRingMask,PERK_cellRingMask,CD21_cellRingMask,DNA10_cellRingMask,CD43_cellRingMask,NOS2_cellRingMask,PDL1_cellRingMask,DNA11_cellRingMask,CD11B_cellRingMask,CD57_cellRingMask,MHCI_cellRingMask,DNA12_cellRingMask,CD15_cellRingMask,ASMA_cellRingMask,CD56_cellRingMask,X_centroid,Y_centroid,column_centroid,row_centroid,Area,MajorAxisLength,MinorAxisLength,Eccentricity,Solidity,Extent,Orientation
11,4418.972027972028,844.8531468531469,505.2867132867133,1044.8041958041958,4408.7692307692305,657.5174825174826,1286.8041958041958,1916.9650349650349,1753.5524475524476,1497.3636363636363,552.6503496503497,1791.3356643356644,2640.195804195804,1160.902097902098,2528.3006993006993,1082.7762237762238,1147.7832167832169,1337.1328671328672,268.8041958041958,2712.8391608391607,1889.6223776223776,1794.0839160839162,572.7412587412588,617.2517482517483,2167.846153846154,404.6713286713287,117.33566433566433,1086.4825174825176,2169.286713286713,1660.6153846153845,318.90909090909093,2967.811188811189,1667.06993006993,636.4195804195804,386.986013986014,2153.916083916084,1167.2167832167831,668.8041958041958,411.55944055944053,1448.5524475524476,1130.8251748251748,702.2727272727273,167.86013986013987,10908.216783216783,1023.7622377622378,1237.4615384615386,11183.937062937062,3397.1608391608393,524.2867132867133,218.1888111888112,524.2867132867133,218.1888111888112,143,14.56636916624582,13.095864083683253,0.4378502197970795,0.9407894736842105,0.680952380952381,-0.17035264200819694
12,3534.2573099415204,824.4502923976609,497.07602339181284,1038.298245614035,3515.222222222222,614.6549707602339,1108.345029239766,1863.7426900584796,1475.4970760233919,1405.5964912280701,498.99415204678365,1790.0116959064328,2228.309941520468,1142.953216374269,1633.4093567251462,720.4795321637426,995.8245614035088,1297.2397660818713,262.8070175438597,2622.3333333333335,1645.9005847953217,556.9181286549708,356.1637426900585,549.859649122807,1900.0116959064328,362.2163742690058,118.33333333333333,1083.982456140351,1928.2748538011697,1490.53216374269,316.92397660818716,2912.87134502924,1506.438596491228,659.3216374269006,375.719298245614,2718.3976608187136,1106.812865497076,660.8187134502924,407.62573099415204,1414.345029239766,1102.93567251462,646.5497076023391,172.25730994152048,13003.169590643274,1029.06432748538,1186.2690058479532,6424.362573099415,3676.9473684210525,537.1286549707602,218.3859649122807,537.1286549707602,218.3859649122807,171,18.25879439144868,12.00646599268559,0.7533919919871552,0.9661016949152542,0.7633928571428571,0.6396102182135608
13,4734.2342342342345,954.6216216216217,635.1891891891892,1098.9099099099099,4964.459459459459,760.5135135135135,3033.6846846846847,2221.6306306306305,2075.5045045045044,2878.153153153153,1471.036036036036,1944.7207207207207,3197.9189189189187,1276.1711711711712,9336.17117117117,2606.5585585585586,1425.3513513513512,1833.6306306306305,315.8198198198198,3171.5945945945946,2444.5495495495497,3152.7207207207207,4024.7837837837837,1099.5585585585586,2837.6666666666665,609.1621621621622,143.33333333333334,926.4144144144144,2973.5045045045044,2468.5855855855857,361.23423423423424,3002.3783783783783,2192.90990990991,913.9099099099099,438.1171171171171,3325.846846846847,1778.7387387387387,858.5855855855856,515.063063063063,1583.4684684684685,1626.9279279279278,1498.1981981981983,192.6216216216216,14472.774774774774,1550.027027027027,1324.126126126126,4588.2972972972975,3695.4864864864867,686.7387387387388,216.3783783783784,686.7387387387388,216.3783783783784,111,12.925905170436343,11.0456598576814,0.5193910793388881,0.9327731092436975,0.6607142857142857,1.3600196370021995
14,4361.445,902.435,599.12,1077.39,4473.84,714.01,2581.98,2116.18,1882.07,2294.98,1343.81,1918.54,2864.89,1221.82,7245.575,2346.115,1260.04,1696.345,294.52,2958.725,2157.4,2834.06,4709.41,1232.16,2545.225,511.18,132.405,970.705,2644.005,2715.58,344.225,2913.4,1942.09,1426.715,396.815,3165.935,1546.25,846.48,470.825,1522.865,1430.19,1647.62,191.965,14311.015,1315.64,1251.605,5190.715,3680.845,639.79,220.095,639.79,220.095,200,20.77502632863258,12.872772857648927,0.7848962005947253,0.9009009009009009,0.6349206349206349,-1.405635939751261
15,6407.80198019802,1029.2871287128712,612.9306930693069,1113.4950495049504,6217.732673267326,830.2574257425742,2456.633663366337,2386.5940594059407,2554.366336633663,2547.3366336633662,1242.7128712871288,1985.7326732673268,3711.267326732673,1327.09900990099,7976.3564356435645,2531.3861386138615,1639.9405940594058,1719.3069306930693,327.76237623762376,3131.09900990099,2849.029702970297,542.6732673267327,2296.8118811881186,1152.1584158415842,3186.4257425742576,485.0990099009901,177.8019801980198,912.980198019802,3263.6435643564355,2764.1188118811883,354.8019801980198,3133.7821782178216,2303.910891089109,790.5544554455446,437.019801980198,3312.930693069307,1918.1089108910892,866.039603960396,509.5940594059406,1585.148514851485,1617.970297029703,1182.7029702970297,197.66336633663366,14118.762376237624,1545.4653465346535,1307.118811881188,2173.366336633663,3867.8811881188117,743.980198019802,218.94059405940595,743.980198019802,218.94059405940595,101,12.192799211582255,10.850269765468118,0.4561720244947561,0.9439252336448598,0.7062937062937062,1.4577883203800759
16,5458.712328767123,981.8493150684932,608.0,1127.3561643835617,5317.630136986301,749.3698630136986,3179.013698630137,2365.972602739726,2314.5479452054797,2619.890410958904,1534.7945205479452,1914.6027397260275,3427.068493150685,1288.3150684931506,7792.808219178082,2463.328767123288,1526.3561643835617,1712.972602739726,311.6849315068493,3304.6301369863013,2612.6164383561645,1149.4794520547946,1778.7945205479452,961.3698630136986,3013.4657534246576,550.7671232876712,141.73972602739727,873.2739726027397,3141.986301369863,1995.7397260273972,350.3424657534247,3208.849315068493,2361.1643835616437,1138.3561643835617,434.3013698630137,3446.794520547945,1933.13698630137,887.6301369863014,523.5205479452055,1565.5068493150684,1705.6164383561643,1027.013698630137,187.56164383561645,13480.917808219177,1645.7260273972602,1351.5479452054794,4454.246575342466,3736.013698630137,673.068493150685,223.31506849315068,673.068493150685,223.31506849315068,73,12.4149575945411,7.681145552625571,0.7856266192251479,0.9733333333333334,0.6759259259259259,-0.5777761113546768
17,4136.174311926606,896.1100917431193,587.348623853211,1063.4311926605506,4544.100917431193,713.183486238532,3158.146788990826,2136.9174311926604,1865.2935779816514,2240.8073394495414,1596.045871559633,1880.559633027523,2918.302752293578,1227.2568807339449,8898.247706422018,2546.5412844036696,1326.7522935779816,1663.1376146788991,287.70642201834863,3171.348623853211,2201.2477064220184,2655.2844036697247,2230.394495412844,1155.3394495412845,2553.091743119266,637.4495412844037,132.52293577981652,893.0917431192661,2700.0366972477063,2024.9174311926606,354.8440366972477,2962.2201834862385,1949.4495412844037,1040.0,413.5321100917431,3413.2752293577983,1664.1376146788991,827.6146788990826,491.61467889908255,1516.4311926605506,1509.091743119266,1077.2018348623853,189.10091743119267,18416.366972477063,1438.1467889908256,1326.4495412844037,9844.146788990825,3644.9174311926604,682.7614678899082,224.93577981651376,682.7614678899082,224.93577981651376,109,15.354276002309804,11.43165358508564,0.6675937641199076,0.7676056338028169,0.5561224489795918,1.0165456032566984
18,4801.302521008403,998.7310924369748,618.1764705882352,1092.0336134453783,4958.697478991597,804.5042016806723,2301.201680672269,2179.0,1969.4117647058824,2460.3865546218485,1213.2773109243697,1880.09243697479,2975.201680672269,1289.9747899159663,5782.773109243697,3184.714285714286,1344.3697478991596,1888.2521008403362,305.96638655462186,2880.529411764706,2295.983193277311,566.2689075630252,3872.6638655462184,1752.09243697479,2631.5966386554624,485.3697478991597,144.9075630252101,933.8571428571429,2660.8655462184875,3519.4789915966385,355.8655462184874,2928.201680672269,1983.3193277310925,805.5798319327731,427.6890756302521,3399.823529411765,1631.0252100840337,923.8739495798319,504.73949579831935,1576.890756302521,1410.218487394958,1477.1008403361345,188.46218487394958,17431.100840336134,1391.90756302521,1341.5042016806722,8873.495798319327,3666.5378151260506,724.9327731092437,223.9075630252101,724.9327731092437,223.9075630252101,119,13.117629548983492,11.593439776852343,0.4678535499123533,0.9596774193548387,0.7041420118343196,-1.0969666183761078
19,4201.056818181818,912.6742424242424,619.6704545454545,1087.7083333333333,4260.060606060606,711.8409090909091,2798.9772727272725,2183.401515151515,1788.0416666666667,2253.875,1210.9621212121212,1896.0189393939395,2716.056818181818,1240.7575757575758,5579.560606060606,1888.6022727272727,1197.2575757575758,1491.2121212121212,284.93560606060606,3131.155303030303,1999.996212121212,1168.1780303030303,1178.219696969697,998.6818181818181,2338.340909090909,511.1969696969697,138.36363636363637,1018.4090909090909,2383.992424242424,1809.5568181818182,320.9583333333333,3046.037878787879,1854.5681818181818,938.719696969697,400.79924242424244,2874.367424242424,1387.7045454545455,789.2765151515151,469.6515151515151,1530.1136363636363,1330.4810606060605,923.5757575757576,179.4469696969697,10974.515151515152,1241.3901515151515,1274.7310606060605,4489.477272727273,3694.4810606060605,545.3977272727273,229.5151515151515,545.3977272727273,229.5151515151515,264,29.440145386430515,12.368734738773362,0.907463198778901,0.8888888888888888,0.5028571428571429,-0.971978398992721
20,1498.905109489051,783.021897810219,678.4525547445255,1035.905109489051,1633.4890510948906,698.8029197080292,1315.4160583941605,1986.6204379562043,681.1897810218978,3819.4160583941607,721.3430656934306,1927.3722627737227,1127.970802919708,1099.8613138686133,6841.233576642336,2799.029197080292,555.956204379562,1749.2846715328467,259.2554744525547,2899.394160583942,978.4452554744526,375.5036496350365,1825.934306569343,809.6934306569343,1134.978102189781,447.1021897810219,137.1970802919708,1009.8905109489051,1221.6204379562043,3169.4525547445255,373.17518248175185,2846.6715328467153,927.3649635036496,857.948905109489,380.2116788321168,3113.299270072993,763.6350364963504,692.7080291970802,415.02919708029196,1552.4890510948906,663.8905109489051,1000.5182481751825,166.92700729927006,13356.080291970802,624.7299270072992,1028.890510948905,4164.788321167884,3425.5547445255474,821.6204379562043,224.5109489051095,821.6204379562043,224.5109489051095,137,14.460316995272063,12.510181676440816,0.5015324624013293,0.9647887323943662,0.7527472527472527,-0.28742456746582107
