CellID,DNA1_cellRingMask,BG1_cellRingMask,BG2_cellRingMask,BG3_cellRingMask,DNA2_cellRingMask,CD25_cellRingMask,CD2_cellRingMask,CD10_cellRingMask,DNA3_cellRingMask,CD163_cellRingMask,CD3D_cellRingMask,CD5_cellRingMask,DNA4_cellRingMask,CD30_cellRingMask,ACTIN_cellRingMask,CD45_cellRingMask,DNA5_cellRingMask,CD206_cellRingMask,CD68_cellRingMask,PD1_cellRingMask,DNA6_cellRingMask,KI67_cellRingMask,CD11C_cellRingMask,CD7_cellRingMask,DNA7_cellRingMask,CD8A_cellRingMask,FOXP3_cellRingMask,CD20_cellRingMask,DNA8_cellRingMask,CD4_cellRingMask,HLADR_cellRingMask,PSTAT3_cellRingMask,DNA9_cellRingMask,PS6_cellRingMask,PERK_cellRingMask,CD21_cellRingMask,DNA10_cellRingMask,CD43_cellRingMask,NOS2_cellRingMask,PDL1_cellRingMask,DNA11_cellRingMask,CD11B_cellRingMask,CD57_cellRingMask,MHCI_cellRingMask,DNA12_cellRingMask,CD15_cellRingMask,ASMA_cellRingMask,CD56_cellRingMask,X_centroid,Y_centroid,column_centroid,row_centroid,Area,MajorAxisLength,MinorAxisLength,Eccentricity,Solidity,Extent,Orientation
12,25447.323529411766,1208.4607843137255,631.9019607843137,1223.3823529411766,20269.166666666668,879.656862745098,607.7745098039215,1740.4607843137255,9924.970588235294,645.2745098039215,651.7549019607843,1750.6960784313726,15236.911764705883,1535.6078431372548,1236.4313725490197,1743.6568627450981,6478.931372549019,1638.8529411764705,351.72549019607845,2643.7549019607845,11914.137254901962,1675.2745098039215,152.5392156862745,487.1078431372549,13240.686274509804,515.343137254902,127.06862745098039,459.078431372549,12248.156862745098,1792.9411764705883,300.70588235294116,2820.1862745098038,11688.156862745098,838.8039215686274,355.7647058823529,1876.5686274509803,7907.794117647059,1171.9313725490197,495.421568627451,1356.7843137254902,3511.6470588235293,661.4901960784314,172.65686274509804,12990.441176470587,2886.872549019608,1397.9803921568628,184.57843137254903,3298.6372549019607,585.9019607843137,228.11764705882354,585.9019607843137,228.11764705882354,102,13.37054352535341,9.797478269758779,0.680480819473572,0.9714285714285714,0.7132867132867133,-1.09516873150295
13,10791.148148148148,1145.469135802469,622.4567901234568,1149.4197530864199,8530.58024691358,812.1481481481482,501.25925925925924,1636.3086419753085,3762.543209876543,628.2716049382716,323.69135802469134,1654.1851851851852,7570.876543209876,1494.1604938271605,799.8024691358024,1308.8641975308642,2704.1111111111113,1532.888888888889,337.14814814814815,2382.4938271604938,5519.7037037037035,1253.0617283950617,143.76543209876544,478.41975308641975,5452.123456790124,536.8765432098766,125.49382716049382,425.4567901234568,5265.185185185185,1543.7530864197531,262.7654320987654,2828.962962962963,5688.358024691358,900.7283950617284,330.30864197530866,1898.3086419753085,3768.4691358024693,1085.3950617283951,466.4691358024691,1334.7283950617284,5524.123456790124,646.4074074074074,184.2962962962963,5658.604938271605,4163.308641975309,1541.5185185185185,187.41975308641975,3371.074074074074,538.2345679012345,231.71604938271605,538.2345679012345,231.71604938271605,81,12.015838023572677,9.087631055829265,0.6542198930976205,0.9418604651162791,0.675,0.32794646424579504
14,22841.688073394496,1071.2293577981652,519.2293577981651,1099.9633027522937,21909.798165137614,836.8623853211009,680.2660550458716,1646.9724770642201,10317.165137614678,613.394495412844,536.2660550458716,1720.5045871559632,15929.165137614678,1466.605504587156,952.7889908256881,1901.1467889908256,6961.972477064221,1559.8899082568807,346.6788990825688,2393.6880733944954,12760.45871559633,787.4954128440367,117.0091743119266,866.3577981651376,14134.522935779816,949.0642201834862,126.63302752293578,436.1743119266055,13349.357798165138,1664.9908256880733,294.7522935779817,2801.045871559633,12845.256880733945,876.2844036697247,340.8807339449541,1397.0,9011.009174311926,1332.2844036697247,476.6238532110092,1322.0366972477063,2908.211009174312,635.9633027522935,157.47706422018348,4477.3302752293575,2313.97247706422,1360.4036697247707,423.1192660550459,3214.1743119266057,607.8990825688073,233.24770642201835,607.8990825688073,233.24770642201835,109,12.206307718783316,11.398892997959983,0.3576579361804116,0.9316239316239316,0.6987179487179487,-0.1916177638545977
15,6846.87012987013,1005.4155844155844,592.7857142857143,1238.5,6682.337662337663,747.4480519480519,504.9025974025974,1837.5714285714287,2969.7597402597403,655.8701298701299,359.8246753246753,1736.2337662337663,4520.25974025974,1308.0454545454545,934.9155844155844,1165.7597402597403,1944.357142857143,1529.0844155844156,279.7077922077922,2407.064935064935,3738.7987012987014,782.3116883116883,362.5584415584416,3425.064935064935,3814.448051948052,568.8701298701299,107.23376623376623,474.61038961038963,3634.0584415584417,1399.9805194805194,274.72727272727275,2809.474025974026,3557.603896103896,730.4415584415584,278.65584415584414,1956.909090909091,2541.5,868.9350649350649,386.92857142857144,1319.0064935064936,3067.9155844155844,593.7012987012987,147.7077922077922,4384.363636363636,2469.818181818182,1310.2077922077922,212.38311688311688,3228.2272727272725,627.2987012987013,236.33116883116884,627.2987012987013,236.33116883116884,154,15.606748385093816,12.820450997992138,0.570254003534679,0.9333333333333333,0.6416666666666667,0.9497817532773184
16,24514.289156626506,1271.421686746988,681.2530120481928,1245.7831325301204,16516.590361445782,929.6265060240963,611.5542168674699,1870.9638554216867,8676.240963855422,707.2409638554217,400.9156626506024,1778.867469879518,13293.12048192771,1628.120481927711,896.8313253012049,1265.8192771084337,5500.759036144578,1897.1566265060242,378.5542168674699,2451.4819277108436,10746.072289156626,2597.156626506024,136.6024096385542,518.7469879518072,11099.915662650603,586.3012048192771,139.65060240963857,465.7590361445783,10310.975903614459,1767.0722891566265,276.04819277108436,2816.1927710843374,9849.132530120482,1087.6506024096386,398.4096385542169,2153.7710843373493,6649.168674698795,1280.2048192771085,524.1325301204819,1357.0361445783133,5357.373493975903,677.722891566265,183.20481927710844,8391.385542168675,3643.4578313253014,1497.7469879518073,188.43373493975903,3244.6867469879517,570.2409638554217,234.85542168674698,570.2409638554217,234.85542168674698,83,11.668942976021114,9.283682683136497,0.6058367286195732,0.9325842696629213,0.6287878787878788,1.3815873203589728
17,12258.623188405798,1171.9202898550725,710.4927536231884,1353.2971014492753,12579.347826086956,880.5942028985507,606.8768115942029,2136.2246376811595,4629.760869565217,785.3695652173913,510.5,1760.355072463768,8168.54347826087,1841.3840579710145,1103.340579710145,1973.2028985507247,3529.268115942029,1748.2173913043478,378.4130434782609,2477.123188405797,6279.028985507246,556.072463768116,317.3550724637681,896.2826086956521,6913.144927536232,432.963768115942,226.41304347826087,597.0507246376811,6588.413043478261,1915.840579710145,317.40579710144925,2829.0652173913045,6083.007246376812,781.0942028985507,346.2391304347826,1351.1376811594203,4266.789855072464,976.0507246376811,473.6014492753623,1356.4057971014493,4727.427536231884,668.1304347826087,184.5144927536232,9483.644927536232,1293.427536231884,1181.9927536231885,426.94202898550725,3110.8840579710145,428.28985507246375,236.14492753623188,428.28985507246375,236.14492753623188,138,15.483793703433832,11.35300197606578,0.6799932516786596,0.965034965034965,0.7840909090909091,-1.413645420131118
18,16668.20879120879,1120.956043956044,578.7472527472528,1151.6593406593406,17536.0989010989,899.1318681318681,580.4395604395604,1836.6703296703297,7324.395604395604,630.3516483516484,367.3736263736264,1727.4175824175825,11311.318681318682,1535.2197802197802,1128.4835164835165,1137.2747252747254,4986.428571428572,1623.2087912087911,365.9340659340659,2403.164835164835,9283.175824175823,1578.3736263736264,203.72527472527472,527.8241758241758,10159.747252747253,473.25274725274727,129.0879120879121,754.4725274725274,9736.747252747253,1671.6593406593406,259.68131868131866,2837.8571428571427,9264.065934065935,911.5824175824176,365.2857142857143,2500.285714285714,6546.7692307692305,1218.3956043956043,506.4945054945055,1378.4505494505495,5234.0329670329675,676.7252747252747,194.03296703296704,8448.978021978022,3848.3736263736264,1512.2087912087911,320.5824175824176,3344.1428571428573,523.9120879120879,236.84615384615384,523.9120879120879,236.84615384615384,91,14.591426082394749,8.261855709480216,0.8242589363507776,0.91,0.5384615384615384,0.6772589419397098
19,11174.459119496856,1046.132075471698,538.6792452830189,1105.3836477987422,11230.4213836478,790.3522012578617,502.8867924528302,1532.880503144654,4900.471698113208,680.1132075471698,440.1949685534591,1696.6540880503144,8274.119496855346,1396.6415094339623,991.496855345912,1682.440251572327,3288.8364779874214,1849.8238993710693,319.66037735849056,2431.2075471698113,6545.798742138365,588.566037735849,249.9245283018868,834.9245283018868,6636.685534591195,640.1949685534591,117.49685534591195,438.60377358490564,6315.106918238994,1571.3270440251572,307.75471698113205,2807.4276729559747,6483.358490566037,662.1949685534591,310.6352201257862,1475.7987421383648,4405.0,1085.6037735849056,447.8050314465409,1375.2767295597484,4349.459119496855,669.9685534591194,173.38993710691824,7204.955974842767,3218.182389937107,1461.8364779874214,209.25157232704402,3301.754716981132,592.3333333333334,239.13836477987422,592.3333333333334,239.13836477987422,159,17.16052218078851,12.3750990109911,0.6927917857647244,0.9352941176470588,0.5977443609022557,0.363410415880427
20,19510.96,1169.4,545.656,1133.68,19397.608,869.264,446.136,1639.216,7439.648,637.968,340.104,1690.68,13048.488,1568.456,658.888,997.016,5502.056,1572.744,371.8,2384.8,9866.768,893.776,144.76,474.464,10543.512,445.928,133.568,457.992,10098.92,1618.12,231.2,2821.576,9346.904,843.168,361.288,1327.456,6495.6,1026.008,485.76,1341.016,3522.848,639.576,174.848,7045.264,2078.712,1221.0,150.072,3192.64,445.856,238.984,445.856,238.984,125,14.668666208054171,11.098754870555961,0.6538431319155393,0.9191176470588235,0.6410256410256411,-1.1657298839186594
21,9591.108108108108,1157.5855855855855,557.7747747747748,1126.5315315315315,11158.495495495496,873.6576576576576,555.8918918918919,1647.6576576576576,4239.387387387387,640.8558558558559,351.77477477477476,1726.117117117117,7426.720720720721,1487.9279279279278,1105.900900900901,1124.6036036036037,3095.387387387387,1604.7027027027027,339.7567567567568,2386.261261261261,5647.954954954955,833.4144144144144,145.12612612612614,488.15315315315314,6120.747747747748,501.5405405405405,123.44144144144144,668.3153153153153,6004.405405405405,1570.936936936937,238.81981981981983,2803.927927927928,5885.639639639639,1197.7027027027027,340.5135135135135,2382.936936936937,4302.972972972973,1066.4504504504505,473.27927927927925,1317.4504504504505,4609.774774774774,685.2072072072073,189.92792792792793,6851.648648648648,3308.252252252252,1514.8648648648648,341.8018018018018,3461.2072072072074,516.7117117117117,241.45045045045046,516.7117117117117,241.45045045045046,111,14.553741588048522,10.235502284395071,0.7109029780327619,0.9098360655737705,0.5285714285714286,0.5455717867308387
